Job Title,Link,Role,Industry,Department,Education (UG),Education (PG),Key Skills,Description
Medical Officer,https://www.naukri.com/job-listings-medical-officer-the-hans-foundation-bokaro-dhanbad-jamshedpur-ranchi-1-to-5-years-190326501460,Chief Medical Officer,Medical Services / Hospital,Healthcare & Life Sciences,Any Graduate,Any Postgraduate,"Waste management, Water treatment, telemedicine, Team management, Patient care, Indenting, Healthcare, Catering, Monitoring, Public health",Description block not found or inaccessible
Medical Officer,https://www.naukri.com/job-listings-medical-officer-the-hans-foundation-dhanbad-1-to-5-years-170326501676,Chief Medical Officer,Medical Services / Hospital,Healthcare & Life Sciences,Any Graduate,Any Postgraduate,"Waste management, Water treatment, telemedicine, Team management, Patient care, Indenting, Healthcare, Catering, Monitoring, Public health",Description block not found or inaccessible
Medical Officer,https://www.naukri.com/job-listings-medical-officer-z2plus-placement-security-agency-pvt-ltd-simdega-lohardaga-gumla-khunti-0-to-5-years-270226505390,Chief Medical Officer,Medical Services / Hospital,Healthcare & Life Sciences,Any Graduate,Any Postgraduate,"medical, recruitment, communication and interpersonal skills, patient care, research, healthcare",Description block not found or inaccessible
Duty Medical Officer,https://www.naukri.com/job-listings-duty-medical-officer-nephroplus-ranchi-0-to-4-years-080425011200,Medical Officer,Medical Devices & Equipment,Healthcare & Life Sciences,MBBS - Bachelor of Medicine and Bachelor of Surgery in Any Specialization,Not Found,"Medical Officer, Medical Rounds, Healthcare Services, Nephrology, Duty Medical Officer, DMO, Dialysis Support, Medical Supervision, Emergency Handling, Inpatient Management, Patient Assessment, Patient Care, ICU Support, Dialysis Unit, Clinical Monitoring, Renal Care, Hospital Duty",Description block not found or inaccessible
Medical Officer,https://www.naukri.com/job-listings-medical-officer-z2plus-placement-security-agency-pvt-ltd-simdega-gumla-ranchi-0-to-6-years-270226505204,Chief Medical Officer,Medical Services / Hospital,Healthcare & Life Sciences,MBBS - Bachelor of Medicine and Bachelor of Surgery in Medicine,Any Postgraduate,"medical, recruitment, communication and interpersonal skills, patient care, research, healthcare",Description block not found or inaccessible
Medical Doctor,https://www.naukri.com/job-listings-medical-doctor-z2plus-placement-security-agency-pvt-ltd-simdega-gumla-ranchi-ramgarh-0-to-3-years-270226505389,Infectiologist,Medical Services / Hospital,Healthcare & Life Sciences,Any Graduate,Any Postgraduate,"doctor, medical, mbbs, recruitment, quality improvement, communication and interpersonal skills, research, healthcare",Description block not found or inaccessible
Duty Medical Officer,https://www.naukri.com/job-listings-duty-medical-officer-z2plus-placement-security-agency-pvt-ltd-simdega-gumla-ranchi-0-to-6-years-270226505388,Medical Officer,Medical Services / Hospital,Healthcare & Life Sciences,MBBS - Bachelor of Medicine and Bachelor of Surgery in Medicine,Any Postgraduate,"medical, recruitment, communication and interpersonal skills, patient care, healthcare",Description block not found or inaccessible
Medical Officer,https://www.naukri.com/job-listings-medical-officer-baba-computers-bokaro-dhanbad-jamshedpur-ranchi-2-to-5-years-230326505786,Medical Officer,Electronics Manufacturing,Healthcare & Life Sciences,MBBS - Bachelor of Medicine and Bachelor of Surgery in Medicine,Any Postgraduate,"Healthcare, Consultancy, Counselling",Description block not found or inaccessible
Medical Doctor,https://www.naukri.com/job-listings-medical-doctor-z2plus-placement-security-agency-pvt-ltd-lohardaga-chaibasa-gumla-ranchi-chakradharpur-0-to-3-years-270226505280,Infectiologist,Medical Services / Hospital,Healthcare & Life Sciences,MBBS - Bachelor of Medicine and Bachelor of Surgery in Medicine,Any Postgraduate,"doctor, medical, mbbs, recruitment, quality improvement, communication and interpersonal skills, patient care, research, healthcare",Description block not found or inaccessible
Medical Officer,https://www.naukri.com/job-listings-medical-officer-chc-group-india-cuttack-deoghar-0-to-3-years-250226504060,Chief Medical Officer,Medical Services / Hospital,Healthcare & Life Sciences,Any Graduate,Any Postgraduate,"opd, pharmaceutical, tpa, emergency medicine, health care services, ip drg, critical care, medicine, hospital administration, patient care, general medicine, healthcare, pediatrics, surgical, physician activities, casualty, iccu, doctor activities, surgery",Description block not found or inaccessible
Medical Officer,https://www.naukri.com/job-listings-medical-officer-z2plus-placement-security-agency-pvt-ltd-bokaro-0-to-4-years-270226505297,Chief Medical Officer,Medical Services / Hospital,Healthcare & Life Sciences,MBBS - Bachelor of Medicine and Bachelor of Surgery in Medicine,Any Postgraduate,"medical, recruitment, communication and interpersonal skills, patient care, research, healthcare",Description block not found or inaccessible
Medical Officer,https://www.naukri.com/job-listings-medical-officer-z2plus-placement-security-agency-pvt-ltd-ranchi-0-to-5-years-270226505302,Chief Medical Officer,Medical Services / Hospital,Healthcare & Life Sciences,Any Graduate,Any Postgraduate,"medical, recruitment, communication and interpersonal skills, patient care, research, healthcare",Description block not found or inaccessible
Pharmacist,https://www.naukri.com/job-listings-pharmacist-m-s-vardaan-hospitals-and-research-centre-ranchi-0-to-2-years-280725503237,Pharmacist,Medical Services / Hospital,Healthcare & Life Sciences,Any Graduate,Any Postgraduate,"pharmaceutical, side, opd, medicine, medical services, inventory, pharmacovigilance, drug, healthcare, cal, compounding, epidemiology, clinical pharmacy, clinical research, immunization, pharmacology, dispensing, public health, nicu, communication skills",Description block not found or inaccessible
Medical Representative,https://www.naukri.com/job-listings-medical-representative-alembic-group-jamshedpur-0-to-3-years-100725500031,Field Sales Executive,Pharmaceutical & Life Sciences,Sales & Business Development,Any Graduate,Any Postgraduate,"pharmaceutical, area sales management, business development, medicine, retail sales, distribution, sales, healthcare, sales and marketing, marketing, sales promotion, transmission, institutional sales, field work, communication skills",Description block not found or inaccessible
Assistant Vice President/Manager - Medical Business Operation,https://www.naukri.com/job-listings-assistant-vice-president-manager-medical-business-operation-benovymed-healthcare-ranchi-3-to-8-years-240226938979,Allied Health Manager,Medical Services / Hospital,Healthcare & Life Sciences,"B.Sc - Bachelor of Science in Chemistry, B.Pharma - Bachelor of Pharmacy in Pharmaceutical Analysis and Quality Assurance, BDS - Bachelor of Dental Surgery in Dentistry, Any Graduate, MBBS - Bachelor of Medicine and Bachelor of Surgery in Medicine",MS/M.Sc(Science) in Chemistry,"Medical Business Operation, Patient Records, Medical Counseling, Patient Care, Healthcare Support Operations, Medical Training, Patient Safety, Startup",Description block not found or inaccessible
